2023-08-23 20:43:00,125 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Configure stats pid to 20308
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Loading settings from C:\Users\this pc\.config\wandb\settings
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Loading settings from d:\Github\YOLO-v3-from-Scratch\wandb\settings
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_init.py:_log_setup():507] Logging user logs to .\wandb\run-20230823_204300-tbi59x85\logs\debug.log
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_init.py:_log_setup():508] Logging internal logs to .\wandb\run-20230823_204300-tbi59x85\logs\debug-internal.log
2023-08-23 20:43:00,126 INFO    MainThread:20308 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001DB4A950250>
2023-08-23 20:43:00,127 INFO    MainThread:20308 [wandb_init.py:init():547] calling init triggers
2023-08-23 20:43:00,127 INFO    MainThread:20308 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-23 20:43:00,127 INFO    MainThread:20308 [wandb_init.py:init():596] starting backend
2023-08-23 20:43:00,127 INFO    MainThread:20308 [wandb_init.py:init():600] setting up manager
2023-08-23 20:43:00,128 INFO    MainThread:20308 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-08-23 20:43:00,130 INFO    MainThread:20308 [wandb_init.py:init():606] backend started and connected
2023-08-23 20:43:00,135 INFO    MainThread:20308 [wandb_run.py:_label_probe_notebook():1234] probe notebook
2023-08-23 20:43:00,136 INFO    MainThread:20308 [wandb_run.py:_label_probe_notebook():1244] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-08-23 20:43:00,136 INFO    MainThread:20308 [wandb_init.py:init():697] updated telemetry
2023-08-23 20:43:00,171 INFO    MainThread:20308 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-23 20:43:01,488 INFO    MainThread:20308 [wandb_run.py:_on_init():2180] communicating current version
2023-08-23 20:43:01,861 INFO    MainThread:20308 [wandb_run.py:_on_init():2189] got version response 
2023-08-23 20:43:01,861 INFO    MainThread:20308 [wandb_init.py:init():781] starting run threads in backend
2023-08-23 20:43:02,018 INFO    MainThread:20308 [wandb_run.py:_console_start():2159] atexit reg
2023-08-23 20:43:02,018 INFO    MainThread:20308 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-23 20:43:02,018 INFO    MainThread:20308 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-23 20:43:02,018 INFO    MainThread:20308 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-23 20:43:02,019 INFO    MainThread:20308 [wandb_init.py:init():822] run started, returning control to user process
2023-08-23 20:43:02,020 INFO    MainThread:20308 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-23 20:43:02,020 INFO    MainThread:20308 [wandb_init.py:_pause_backend():418] pausing backend
2023-08-23 20:43:18,958 INFO    MainThread:20308 [wandb_init.py:_resume_backend():423] resuming backend
2023-08-24 01:00:50,547 INFO    MainThread:20308 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-24 01:00:50,547 INFO    MainThread:20308 [wandb_init.py:_pause_backend():418] pausing backend
2023-08-24 14:40:16,158 INFO    MainThread:20308 [wandb_init.py:_resume_backend():423] resuming backend
2023-08-24 14:40:16,216 INFO    MainThread:20308 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-24 14:40:16,216 INFO    MainThread:20308 [wandb_init.py:_pause_backend():418] pausing backend
2023-08-24 14:40:16,406 INFO    MainThread:20308 [wandb_init.py:_resume_backend():423] resuming backend
